cod_timewindow,cod_days,cod_time,timegroup
SEG_8-10,SEG,8-10,[2]
SEG_10-12,SEG,10-12,"[1,2]"
SEG_14-16,SEG,14-16,"[1,2]"
SEG_16-18,SEG,16-18,[1]
TER_8-10,TER,8-10,[2]
TER_10-12,TER,10-12,"[1,2]"
TER_14-16,TER,14-16,"[1,2]"
TER_16-18,TER,16-18,[1]
QUA_8-10,QUA,8-10,[2]
QUA_10-12,QUA,10-12,"[1,2]"
QUA_14-16,QUA,14-16,"[1,2]"
QUA_16-18,QUA,16-18,[1]
QUI_8-10,QUI,8-10,[2]
QUI_10-12,QUI,10-12,"[1,2]"
QUI_14-16,QUI,14-16,"[1,2]"
QUI_16-18,QUI,16-18,[1]
SEX_8-10,SEX,8-10,[2]
SEX_10-12,SEX,10-12,"[1,2]"
SEX_14-16,SEX,14-16,"[1,2]"
SEX_16-18,SEX,16-18,[1]
